model,mean_dice,std_dice,improvement,percentage_improvement
Pre-trained,0.5781020807723204,0.19644737723651248,0.0,0.0
Fine-tuned,0.871808389822642,0.02888572994983711,0.2937063090503216,50.805267584912016
